id,type,reference_time,amplitude,rise_time,temperature,r_chisq,err_reference_time,err_amplitude,err_rise_time,err_temperature
ZTF17aaazdba,TDE,58540.19380122432,1305588236225596.0,6.545951290536985,13265.143858588672,37.871327591907914,0.014332225807390797,0.7295957613544237,0.007825783737500591,553.4459415400124
ZTF18aabtxvd,TDE,58666.79016888783,2853538102360075.5,53.621445755766466,24309.189817157283,0.6552618631046738,2.5967692258326043,43.145108496388346,2.271148603228151,2283.4046902002356
ZTF18aahqkbt,TDE,57646.63692895291,4256306391221966.5,1083.2733177611165,41183.69413062325,3.5230344272698804,0.0,0.0,0.0,0.0
ZTF18aakelin,TDE,58984.645881730365,2419609384473222.5,16.366999646353054,13357.336292559363,0.5960371304542621,3.15901893649905,27.338744371799706,1.3677415559236725,4396.337329914306
ZTF18abxftqm,TDE,58389.46658752853,834632600198998.2,4.478665646502916,10816.303761502137,0.5829566779922424,0.03443798585089369,0.7940675473905028,0.019776732143078568,1036.456645282149
ZTF18acpdvos,TDE,59069.22426011356,243314624493133.6,3.3185089367072256,7693.273732004574,667.4221819169715,52.932815600266736,0.00036568169686646,33.42755214584739,17.9016002603189
ZTF18actaqdw,TDE,58449.876812338756,1460061924090793.5,11.507746399363395,13783.038223447902,0.2796223222866349,0.5326702343902382,7.163435201327317,0.6688794992549996,4459.801919018384
ZTF19aabbnzo,TDE,58489.456169283,2187780045240671.8,6.337748888988207,16869.222546684385,0.17704123122113372,0.22789127694019382,11.08898944486089,0.16615628160821144,4876.651766927503
ZTF19aakiwze,TDE,58523.425981708526,1116397641122416.8,3.2184618711305557,15017.786214875578,1.4127287680388754,0.1784357439288773,9.731057205839436,0.24532618409165152,8621.176849839265
ZTF19aakswrb,TDE,58531.50158777721,1581943682357503.2,3.3127964644522874,14691.801277596742,0.14682778273877956,0.4012092333280157,5.2708879628411776,0.2410721913424481,3124.537567117578
ZTF19aapreis,TDE,58587.163696234886,1171882715707554.2,9.441668700522953,11015.21715201416,0.15992971601934317,0.4228323512490378,2.322519410437833,0.4061765480583468,1668.8064207010284
ZTF19aarioci,TDE,58600.55467265496,1493833026091821.8,3.339450510272619,14249.052806389835,0.5256539852745746,0.06693819463182027,2.096537093287168,0.047337070690111505,1537.6714439699672
ZTF19abhejal,TDE,58691.14756959155,3548586487249985.0,12.129393606518347,17867.346200501994,0.30377622602137666,1.5830172484658291,29.561276514953146,0.5152155309117773,5682.310505844163
ZTF19abhhjcc,TDE,58672.744014315605,2224681053984571.5,7.848872070405213,18282.634606596584,3.2815131180987094,47.156550610988354,23.79985198111595,15.916554274559834,53045.936165867184
ZTF19abidbya,TDE,58686.279094347956,1864702106478969.0,2.487042143002002,15726.691847835858,0.2987305314618534,0.7446415126916865,25.905440894573992,1.0419718766043573,2189.8213215457126
ZTF19abzrhgq,TDE,58763.27921505561,1963564000100857.8,7.498416186200412,10322.04654179217,1.923723181758167,0.3871607934257316,2.4721620493014393,0.08450737343796677,424.19947659239733
ZTF19accmaxo,TDE,58764.41863877346,970504862870016.2,9.055175068270222,11063.132150588013,0.3441405696163949,0.3671738259431868,2.8390062759883046,0.46502798499160647,1531.8465736742182
ZTF19acspeuw,TDE,58800.215077444256,1278926666369771.5,5.843635979775015,13871.376695327557,2.2527373887766666,0.0,0.0,0.0,0.0
ZTF20aabqihu,TDE,58868.86920293735,2891144879832341.0,12.097973427440289,11614.507710150612,0.5210783942546682,1.069031851774683,27.19848095342008,0.3953474155022223,1572.5107700876579
ZTF20aamqmfk,TDE,58887.262847198544,4164757334031577.5,7.7386541032259055,25122.466045238707,0.23545825917377033,0.1518337376945214,34.929702986848014,0.1011086907643387,837.2947035102152
ZTF20abefeab,TDE,59007.998114720234,1560007762149075.2,4.9522231217961385,14892.39014041081,0.31095525386562434,0.20877900935158578,5.55081925529055,0.31519370816109843,2049.0563463345125
ZTF20abfcszi,TDE,59035.8038711199,1139137839170317.8,15.217441259093155,10950.772650616935,0.6366249641407558,0.0975356697861865,0.6621632788511631,0.08171419331054286,386.56648843953826
ZTF20abjwvae,TDE,59045.576985988526,2576436113063928.5,7.018636616552252,18322.401299518493,0.8699485742195042,0.15587083954078074,9.798177606102847,0.14241838120153388,3723.3065375351034
ZTF20abnorit,TDE,59137.47673819824,1980333357274239.0,1.0770499972580743,17493.176496439377,2.0834316732299962,34.4676257230625,5.124976277462837,25.26672286589327,351.3030455839398
ZTF20abowque,TDE,58958.37130877669,2323547847331367.5,6.2447148456911865,19312.70713757826,0.4029878481186534,39.36886421989676,21.94838871260017,23.805422379677225,288.68077808443377
ZTF20abrnwfc,TDE,59065.49764251229,3861561042937735.5,3.212220181637304,24130.588475188935,0.2399964506181473,0.10436869116394687,32.86030655807653,0.09001143107240225,367.3595083971668
ZTF20acitpfz,TDE,59152.762069225915,4025802168277060.5,8.27538968909854,16103.154794450966,1.947607370209056,0.4025354630529794,21.624229049887603,0.11396115218774805,1289.7568716818732
ZTF20acqoiyt,TDE,59176.05429220223,1070322093095752.6,5.210442307874592,11970.748005608166,3.5836877699818626,0.13543552985695134,1.073625375943558,0.06408865804335023,1044.9671460319978
