id,type,a_g,b_g,c_g,snratio_g,mse_g,nrise_g,a_r,b_r,c_r,snratio_r,mse_r,nrise_r
ZTF17aaazdba,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0
ZTF18aabtxvd,TDE,0.0005259116151888988,-1456.9784825789343,1399.157793009642,6.586492765335735,2.442065363749341e-06,30,0.0,0.0,0.0,0.1,100000000.0,0
ZTF18aahqkbt,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0011657544669337887,7831.138464228706,9485284.822212784,6.823661337544107,0.0008396794981668771,8
ZTF18aakelin,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0
ZTF18acaqdaa,TDE,0.0009958586294474224,2640.714651275599,12489.702417697712,6.158522280947181,2.3127525976740986e-05,4,0.0,0.0,0.0,0.1,100000000.0,0
ZTF18acpdvos,TDE,8.829226903678592e-05,18757.37512011799,157983.25556796446,32.50160034359689,4.7678272030680235e-07,13,0.0,0.0,0.0,0.1,100000000.0,0
ZTF19abzrhgq,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0
ZTF19accmaxo,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0
ZTF19acspeuw,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0
ZTF20aabqihu,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0
ZTF20aamqmfk,TDE,0.019218312338605225,286.7975753588877,353050.25461118657,6.885209301701087,8.093337015053597e-05,4,0.02094023064205763,254.74004738357593,202611.9068777819,6.515042660185332,0.00026861465081567227,5
ZTF20abefeab,TDE,0.27412744364596686,-1.4659102181948138,2721.1865771662274,11.180965491071474,1.1936351316293811e-05,7,0.0697820159832816,5.945029284431788,3965.793824437913,10.465071216147189,4.2950810775550525e-05,6
ZTF20abfcszi,TDE,0.06582576509305074,21.02232216023335,5488.0058669467735,11.886627375164688,6.118598298657641e-06,19,0.035763974307873765,53.99119325680633,11488.660855710852,11.070656799806057,1.1833127031893324e-05,16
ZTF20abjwvae,TDE,0.1614784818231496,6.1686933186318775,2747.6013906266476,9.365155238685421,3.453821085366214e-05,8,0.1755970119146484,-2.8711840446245698,2236.4095454800554,8.861678757103196,5.785748548727877e-05,5
ZTF20abnorit,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0
ZTF20abowque,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0
ZTF20abrnwfc,TDE,0.004992849883123333,627.7460297679281,42633.78634704437,8.371804869925537,1.4129581738736252e-05,4,0.30607084071777496,-12.019052115837438,1245.9180547736473,6.940836090905225,6.132948831759542e-06,5
ZTF20acitpfz,TDE,0.07587943268485389,92.93731653861553,2673853.7271563606,12.452392333814712,6.745954213513553e-06,4,0.12822257366487352,13.969503147556578,10427.619666970477,13.450876915416433,0.00035325176779695287,5
ZTF20acqoiyt,TDE,0.11268227356931444,14.328458990156363,12491.793536688649,13.129725169053538,0.00017441991523535575,7,0.12091773683317286,10.568847690010537,9950.583497076117,14.239810316514294,3.83849736922412e-05,5
