ZTFname,ATname
ZTF18acaqdaa,AT2018iih
ZTF18acnbpmd,AT2018jbv
ZTF19aabbnzo,AT2018lna
ZTF19aaciohh,AT2019baf
ZTF17aaazdba,AT2019azh
ZTF19aakswrb,AT2019bhf
ZTF19aaniqrr,AT2019cmw
ZTF19aapreis,AT2019dsg
ZTF19aarioci,AT2019ehz
ZTF19abzrhgq,AT2019qiz
ZTF19acspeuw,AT2019vcb
ZTF20aabqihu,AT2020pj
ZTF20abfcszi,AT2020mot
ZTF20abgwfek,AT2020neh
ZTF20abnorit,AT2020ysg
ZTF20acaazkt,AT2020vdq
ZTF20achpcvt,AT2020vwl
ZTF20acitpfz,AT2020wey
ZTF20acnznms,AT2020yue
ZTF20acvezvs,AT2020abri
ZTF20acwytxn,AT2020acka
ZTF21aaaokyp,AT2021axu
ZTF21aakfqwq,AT2021crk
ZTF21aanxhjv,AT2021ehb
ZTF21aauuybx,AT2021jjm
ZTF21abaxaqq,AT2021mhg
ZTF21abcgnqn,AT2021nwa
ZTF21abhrchb,AT2021qth
ZTF21abjrysr,AT2021sdu
ZTF21abqhkjd,AT2021uqv
ZTF21abqtckk,AT2021utq
ZTF21abxngcz,AT2021yzv
ZTF21acafvhf,AT2021yte
